cylinders,$displacement,$horsepower,<weight,>acceleration,$model,origin,>mpg,!class
4,97.0,46.0,1835.0,20.5,70.0,2,26.0,class1
4,110.0,87.0,2672.0,17.5,70.0,2,25.0,class1
4,107.0,90.0,2430.0,14.5,70.0,2,24.0,class1
4,104.0,95.0,2375.0,17.5,70.0,2,25.0,class1
4,121.0,113.0,2234.0,12.5,70.0,2,26.0,class1
4,116.0,90.0,2123.0,14.0,71.0,2,28.0,class1
4,79.0,70.0,2074.0,19.5,71.0,2,30.0,class1
4,88.0,76.0,2065.0,14.5,71.0,2,30.0,class1
4,97.0,60.0,1834.0,19.0,71.0,2,27.0,class1
4,97.0,54.0,2254.0,23.5,72.0,2,23.0,class1
4,121.0,112.0,2933.0,14.5,72.0,2,18.0,class1
4,121.0,76.0,2511.0,18.0,72.0,2,22.0,class1
4,120.0,87.0,2979.0,19.5,72.0,2,21.0,class1
4,96.0,69.0,2189.0,18.0,72.0,2,26.0,class1
4,97.0,46.0,1950.0,21.0,73.0,2,26.0,class1
4,98.0,90.0,2265.0,15.5,73.0,2,26.0,class1
4,116.0,75.0,2158.0,15.5,73.0,2,24.0,class1
4,114.0,91.0,2582.0,14.0,73.0,2,20.0,class1
4,121.0,112.0,2868.0,15.5,73.0,2,19.0,class1
4,121.0,110.0,2660.0,14.0,73.0,2,24.0,class1
4,98.0,83.0,2219.0,16.5,74.0,2,29.0,class1
4,97.0,78.0,2300.0,14.5,74.0,2,26.0,class1
4,90.0,75.0,2108.0,15.5,74.0,2,24.0,class1
4,116.0,75.0,2246.0,14.0,74.0,2,26.0,class1
4,90.0,71.0,2223.0,16.5,75.0,2,25.0,class1
4,113.0,95.0,2372.0,15.0,70.0,3,24.0,class2
4,97.0,88.0,2130.0,14.5,70.0,3,27.0,class2
4,97.0,88.0,2130.0,14.5,71.0,3,27.0,class2
4,113.0,95.0,2228.0,14.0,71.0,3,25.0,class2
4,113.0,95.0,2278.0,15.5,72.0,3,24.0,class2
3,70.0,97.0,2330.0,13.5,72.0,3,19.0,class2
4,97.0,92.0,2288.0,17.0,72.0,3,28.0,class2
4,120.0,97.0,2506.0,14.5,72.0,3,23.0,class2
4,108.0,94.0,2379.0,16.5,73.0,3,22.0,class2
3,70.0,90.0,2124.0,13.5,73.0,3,18.0,class2
6,156.0,122.0,2807.0,13.5,73.0,3,20.0,class2
4,120.0,97.0,2489.0,15.0,74.0,3,24.0,class2
4,108.0,93.0,2391.0,15.5,74.0,3,26.0,class2
4,134.0,96.0,2702.0,13.5,75.0,3,24.0,class2
4,119.0,97.0,2545.0,17.0,75.0,3,24.0,class2
6,156.0,108.0,2930.0,15.5,76.0,3,19.0,class2
6,146.0,97.0,2815.0,14.5,77.0,3,22.0,class2
3,80.0,110.0,2720.0,13.5,77.0,3,21.5,class2
4,134.0,95.0,2560.0,14.2,78.0,3,27.5,class2
4,119.0,97.0,2300.0,14.7,78.0,3,27.2,class2
4,134.0,95.0,2515.0,14.8,78.0,3,21.1,class2
4,119.0,97.0,2405.0,14.9,78.0,3,23.9,class2
4,120.0,75.0,2542.0,17.5,80.0,3,31.3,class2
4,119.0,92.0,2434.0,15.0,80.0,3,37.0,class2
3,70.0,100.0,2420.0,12.5,80.0,3,23.7,class2
