cylinders,$displacement,$horsepower,<weight,>acceleration,$model,origin,>mpg,!class
6,225.0,100.0,3233.0,15.4,76.0,1,22.0,class1
6,231.0,105.0,3535.0,19.2,78.0,1,19.2,class1
6,200.0,95.0,3155.0,18.2,78.0,1,20.5,class1
6,200.0,85.0,2965.0,15.8,78.0,1,20.2,class1
6,225.0,100.0,3430.0,17.2,78.0,1,20.5,class1
6,232.0,90.0,3210.0,17.2,78.0,1,19.4,class1
6,231.0,105.0,3380.0,15.8,78.0,1,20.6,class1
6,200.0,85.0,3070.0,16.7,78.0,1,20.8,class1
6,258.0,120.0,3410.0,15.1,78.0,1,18.1,class1
6,163.0,125.0,3140.0,13.6,78.0,2,17.0,class1
6,231.0,115.0,3245.0,15.4,79.0,1,21.5,class1
6,200.0,85.0,2990.0,18.2,79.0,1,19.8,class1
6,232.0,90.0,3265.0,18.2,79.0,1,20.2,class1
6,225.0,110.0,3360.0,16.6,79.0,1,20.6,class1
6,173.0,115.0,2595.0,11.3,79.0,1,28.8,class1
6,173.0,115.0,2700.0,12.9,79.0,1,26.8,class1
6,225.0,90.0,3381.0,18.7,80.0,1,19.1,class1
6,173.0,110.0,2725.0,12.6,81.0,1,23.5,class1
6,231.0,110.0,3415.0,15.8,81.0,1,22.4,class1
8,350.0,105.0,3725.0,19.0,81.0,1,26.6,class1
6,200.0,88.0,3060.0,17.1,81.0,1,20.2,class1
6,225.0,85.0,3465.0,16.6,81.0,1,17.6,class1
6,181.0,110.0,2945.0,16.4,82.0,1,25.0,class1
6,262.0,85.0,3015.0,17.0,82.0,1,38.0,class1
6,232.0,112.0,2835.0,14.7,82.0,1,22.0,class1
6,250.0,100.0,3336.0,17.0,74.0,1,15.0,class2
6,250.0,100.0,3781.0,17.0,74.0,1,16.0,class2
6,258.0,110.0,3632.0,18.0,74.0,1,16.0,class2
6,225.0,105.0,3613.0,16.5,74.0,1,18.0,class2
6,225.0,95.0,3264.0,16.0,75.0,1,19.0,class2
6,250.0,105.0,3459.0,16.0,75.0,1,18.0,class2
6,231.0,110.0,3907.0,21.0,75.0,1,17.0,class2
6,250.0,105.0,3897.0,18.5,75.0,1,16.0,class2
6,258.0,110.0,3730.0,19.0,75.0,1,15.0,class2
6,225.0,95.0,3785.0,19.0,75.0,1,18.0,class2
6,231.0,110.0,3039.0,15.0,75.0,1,21.0,class2
6,232.0,90.0,3211.0,17.0,75.0,1,19.0,class2
6,250.0,105.0,3353.0,14.5,76.0,1,22.0,class2
6,225.0,100.0,3651.0,17.7,76.0,1,20.0,class2
6,250.0,78.0,3574.0,21.0,76.0,1,18.0,class2
6,250.0,110.0,3645.0,16.2,76.0,1,18.5,class2
6,258.0,95.0,3193.0,17.8,76.0,1,17.5,class2
6,168.0,120.0,3820.0,16.7,76.0,2,16.5,class2
6,250.0,110.0,3520.0,16.4,77.0,1,17.5,class2
6,231.0,105.0,3425.0,16.9,77.0,1,20.5,class2
6,225.0,100.0,3630.0,17.7,77.0,1,19.0,class2
6,250.0,98.0,3525.0,19.0,77.0,1,18.5,class2
6,225.0,110.0,3620.0,18.7,78.0,1,18.6,class2
6,231.0,165.0,3445.0,13.4,78.0,1,17.7,class2
6,163.0,133.0,3410.0,15.8,78.0,2,16.2,class2
