cylinders,$displacement,$horsepower,<weight,>acceleration,$model,origin,>mpg,!class
4,90.0,75.0,2125.0,14.5,74.0,1,28.0,class1
4,98.0,79.0,2255.0,17.7,76.0,1,26.0,class1
4,140.0,72.0,2565.0,13.6,76.0,1,26.5,class1
4,111.0,80.0,2155.0,14.8,77.0,1,30.0,class1
4,122.0,96.0,2300.0,15.5,77.0,1,25.5,class1
4,98.0,83.0,2075.0,15.9,77.0,1,33.5,class1
4,98.0,68.0,2155.0,16.5,78.0,1,30.0,class1
4,105.0,75.0,2230.0,14.5,78.0,1,30.9,class1
4,121.0,80.0,2670.0,15.0,79.0,1,27.4,class1
4,105.0,70.0,2200.0,13.2,79.0,1,34.2,class1
4,105.0,70.0,2150.0,14.9,79.0,1,34.5,class1
4,151.0,90.0,2556.0,13.2,79.0,1,33.5,class1
4,98.0,70.0,2120.0,15.5,80.0,1,32.1,class1
4,134.0,90.0,2711.0,15.5,80.0,3,29.8,class1
6,168.0,132.0,2910.0,11.4,80.0,3,32.7,class1
4,135.0,84.0,2490.0,15.7,81.0,1,27.2,class1
4,135.0,84.0,2385.0,12.9,81.0,1,30.0,class1
4,105.0,63.0,2215.0,14.9,81.0,1,34.7,class1
4,112.0,88.0,2395.0,18.0,82.0,1,34.0,class1
4,112.0,85.0,2575.0,16.2,82.0,1,31.0,class1
4,135.0,84.0,2525.0,16.0,82.0,1,29.0,class1
4,105.0,63.0,2125.0,14.7,82.0,1,38.0,class1
4,144.0,96.0,2665.0,13.9,82.0,3,32.0,class1
4,135.0,84.0,2370.0,13.0,82.0,1,36.0,class1
4,135.0,84.0,2295.0,11.6,82.0,1,32.0,class1
4,113.0,95.0,2372.0,15.0,70.0,3,24.0,class2
4,97.0,88.0,2130.0,14.5,70.0,3,27.0,class2
4,97.0,88.0,2130.0,14.5,71.0,3,27.0,class2
4,113.0,95.0,2228.0,14.0,71.0,3,25.0,class2
4,113.0,95.0,2278.0,15.5,72.0,3,24.0,class2
3,70.0,97.0,2330.0,13.5,72.0,3,19.0,class2
4,97.0,92.0,2288.0,17.0,72.0,3,28.0,class2
4,120.0,97.0,2506.0,14.5,72.0,3,23.0,class2
4,108.0,94.0,2379.0,16.5,73.0,3,22.0,class2
3,70.0,90.0,2124.0,13.5,73.0,3,18.0,class2
6,156.0,122.0,2807.0,13.5,73.0,3,20.0,class2
4,120.0,97.0,2489.0,15.0,74.0,3,24.0,class2
4,108.0,93.0,2391.0,15.5,74.0,3,26.0,class2
4,134.0,96.0,2702.0,13.5,75.0,3,24.0,class2
4,119.0,97.0,2545.0,17.0,75.0,3,24.0,class2
6,156.0,108.0,2930.0,15.5,76.0,3,19.0,class2
6,146.0,97.0,2815.0,14.5,77.0,3,22.0,class2
3,80.0,110.0,2720.0,13.5,77.0,3,21.5,class2
4,134.0,95.0,2560.0,14.2,78.0,3,27.5,class2
4,119.0,97.0,2300.0,14.7,78.0,3,27.2,class2
4,134.0,95.0,2515.0,14.8,78.0,3,21.1,class2
4,119.0,97.0,2405.0,14.9,78.0,3,23.9,class2
4,120.0,75.0,2542.0,17.5,80.0,3,31.3,class2
4,119.0,92.0,2434.0,15.0,80.0,3,37.0,class2
3,70.0,100.0,2420.0,12.5,80.0,3,23.7,class2
