cylinders,$displacement,$horsepower,<weight,>acceleration,$model,origin,>mpg,!class
8,350.0,165.0,3693.0,11.5,70.0,1,15.0,class1
8,429.0,198.0,4341.0,10.0,70.0,1,15.0,class1
8,454.0,220.0,4354.0,9.0,70.0,1,14.0,class1
8,440.0,215.0,4312.0,8.5,70.0,1,14.0,class1
8,455.0,225.0,4425.0,10.0,70.0,1,14.0,class1
8,390.0,190.0,3850.0,8.5,70.0,1,15.0,class1
8,383.0,170.0,3563.0,10.0,70.0,1,15.0,class1
8,340.0,160.0,3609.0,8.0,70.0,1,14.0,class1
8,400.0,150.0,3761.0,9.5,70.0,1,15.0,class1
8,455.0,225.0,3086.0,10.0,70.0,1,14.0,class1
8,360.0,215.0,4615.0,14.0,70.0,1,10.0,class1
8,307.0,200.0,4376.0,15.0,70.0,1,10.0,class1
8,318.0,210.0,4382.0,13.5,70.0,1,11.0,class1
8,350.0,165.0,4209.0,12.0,71.0,1,14.0,class1
8,400.0,175.0,4464.0,11.5,71.0,1,14.0,class1
8,383.0,180.0,4955.0,11.5,71.0,1,12.0,class1
8,400.0,170.0,4746.0,12.0,71.0,1,13.0,class1
8,400.0,175.0,5140.0,12.0,71.0,1,13.0,class1
8,400.0,175.0,4385.0,12.0,72.0,1,14.0,class1
8,429.0,208.0,4633.0,11.0,72.0,1,11.0,class1
8,400.0,190.0,4422.0,12.5,72.0,1,13.0,class1
8,429.0,198.0,4952.0,11.5,73.0,1,12.0,class1
8,440.0,215.0,4735.0,11.0,73.0,1,13.0,class1
8,455.0,225.0,4951.0,11.0,73.0,1,12.0,class1
8,400.0,230.0,4278.0,9.5,73.0,1,16.0,class1
8,304.0,150.0,3433.0,12.0,70.0,1,16.0,class2
8,304.0,193.0,4732.0,18.5,70.0,1,9.0,class2
8,351.0,153.0,4154.0,13.5,71.0,1,14.0,class2
8,318.0,150.0,4096.0,13.0,71.0,1,14.0,class2
8,350.0,165.0,4274.0,12.0,72.0,1,13.0,class2
8,318.0,150.0,4135.0,13.5,72.0,1,15.0,class2
8,351.0,153.0,4129.0,13.0,72.0,1,14.0,class2
8,350.0,155.0,4502.0,13.5,72.0,1,13.0,class2
8,350.0,160.0,4456.0,13.5,72.0,1,12.0,class2
8,304.0,150.0,3892.0,12.5,72.0,1,15.0,class2
8,307.0,130.0,4098.0,14.0,72.0,1,13.0,class2
8,302.0,140.0,4294.0,16.0,72.0,1,13.0,class2
8,318.0,150.0,4077.0,14.0,72.0,1,14.0,class2
8,350.0,175.0,4100.0,13.0,73.0,1,13.0,class2
8,350.0,145.0,3988.0,13.0,73.0,1,13.0,class2
8,400.0,150.0,4464.0,12.0,73.0,1,13.0,class2
8,351.0,158.0,4363.0,13.0,73.0,1,13.0,class2
8,318.0,150.0,4237.0,14.5,73.0,1,14.0,class2
8,360.0,175.0,3821.0,11.0,73.0,1,13.0,class2
8,400.0,150.0,4997.0,14.0,73.0,1,11.0,class2
8,400.0,167.0,4906.0,12.5,73.0,1,12.0,class2
8,360.0,170.0,4654.0,13.0,73.0,1,13.0,class2
8,350.0,180.0,4499.0,12.5,73.0,1,12.0,class2
8,350.0,180.0,3664.0,11.0,73.0,1,11.0,class2
8,350.0,150.0,4699.0,14.5,74.0,1,13.0,class2
