cylinders,$displacement,$horsepower,<weight,>acceleration,$model,origin,>mpg,!class
4,97.0,88.0,2100.0,16.5,72.0,3,27.0,class1
4,97.0,88.0,2279.0,19.0,73.0,3,20.0,class1
4,97.0,75.0,2171.0,16.0,75.0,3,29.0,class1
4,97.0,75.0,2155.0,16.4,76.0,3,28.0,class1
4,98.0,68.0,2045.0,18.5,77.0,3,31.5,class1
4,97.0,75.0,2265.0,18.2,77.0,3,26.0,class1
4,97.0,67.0,1985.0,16.4,77.0,3,30.0,class1
4,98.0,68.0,2135.0,16.6,78.0,3,29.5,class1
4,86.0,65.0,1975.0,15.2,79.0,3,34.1,class1
4,85.0,65.0,2020.0,19.2,79.0,3,31.8,class1
4,86.0,65.0,2019.0,16.4,80.0,3,37.2,class1
4,108.0,75.0,2265.0,15.2,80.0,3,32.2,class1
4,85.0,65.0,2110.0,19.2,80.0,3,40.8,class1
4,97.0,67.0,2145.0,18.0,80.0,3,33.8,class1
4,107.0,72.0,2290.0,17.0,80.0,3,32.4,class1
4,97.0,67.0,2065.0,17.8,81.0,3,32.3,class1
4,85.0,65.0,1975.0,19.4,81.0,3,37.0,class1
4,89.0,62.0,2050.0,17.3,81.0,3,37.7,class1
4,91.0,68.0,1985.0,16.0,81.0,3,34.1,class1
4,107.0,75.0,2210.0,14.4,81.0,3,33.7,class1
4,91.0,68.0,2025.0,18.2,82.0,3,37.0,class1
4,91.0,68.0,1970.0,17.6,82.0,3,31.0,class1
4,91.0,67.0,1965.0,15.0,82.0,3,38.0,class1
4,91.0,67.0,1965.0,15.7,82.0,3,32.0,class1
4,91.0,67.0,1995.0,16.2,82.0,3,38.0,class1
4,98.0,63.0,2051.0,17.0,77.0,1,30.5,class2
4,90.0,48.0,1985.0,21.5,78.0,2,43.1,class2
4,98.0,66.0,1800.0,14.4,78.0,1,36.1,class2
4,98.0,80.0,1915.0,14.4,79.0,1,35.7,class2
4,91.0,69.0,2130.0,14.7,79.0,2,37.3,class2
4,98.0,76.0,2144.0,14.7,80.0,2,41.5,class2
4,97.0,78.0,2188.0,15.8,80.0,2,34.3,class2
4,90.0,48.0,2085.0,21.7,80.0,2,44.3,class2
4,90.0,48.0,2335.0,23.7,80.0,2,43.4,class2
4,85.0,?,1835.0,17.3,80.0,2,40.9,class2
4,89.0,62.0,1845.0,15.3,80.0,2,29.8,class2
4,86.0,64.0,1875.0,16.4,81.0,1,39.0,class2
4,98.0,65.0,2045.0,16.2,81.0,1,34.4,class2
4,98.0,65.0,2380.0,20.7,81.0,1,29.9,class2
4,105.0,74.0,2190.0,14.2,81.0,2,33.0,class2
4,100.0,?,2320.0,15.8,81.0,2,34.5,class2
4,108.0,75.0,2350.0,16.8,81.0,3,32.4,class2
4,119.0,100.0,2615.0,14.8,81.0,3,32.9,class2
4,120.0,74.0,2635.0,18.3,81.0,3,31.6,class2
4,105.0,74.0,1980.0,15.3,82.0,2,36.0,class2
4,98.0,70.0,2125.0,17.3,82.0,1,36.0,class2
4,120.0,88.0,2160.0,14.5,82.0,3,36.0,class2
4,107.0,75.0,2205.0,14.5,82.0,3,36.0,class2
4,108.0,70.0,2245.0,16.9,82.0,3,34.0,class2
4,97.0,52.0,2130.0,24.6,82.0,2,44.0,class2
