cylinders,$displacement,$horsepower,<weight,>acceleration,$model,origin,>mpg,!class
4,71.0,65.0,1773.0,19.0,71.0,3,31.0,class1
4,72.0,69.0,1613.0,18.0,71.0,3,35.0,class1
4,68.0,49.0,1867.0,19.5,73.0,2,29.0,class1
4,79.0,67.0,1950.0,19.0,74.0,3,31.0,class1
4,71.0,65.0,1836.0,21.0,74.0,3,32.0,class1
4,79.0,67.0,1963.0,15.5,74.0,2,26.0,class1
4,76.0,52.0,1649.0,16.5,74.0,3,31.0,class1
4,83.0,61.0,2003.0,19.0,74.0,3,32.0,class1
4,79.0,67.0,2000.0,16.0,74.0,2,31.0,class1
4,90.0,70.0,1937.0,14.0,75.0,2,29.0,class1
4,91.0,53.0,1795.0,17.5,75.0,3,33.0,class1
4,90.0,70.0,1937.0,14.2,76.0,2,29.0,class1
4,91.0,53.0,1795.0,17.4,76.0,3,33.0,class1
4,97.0,71.0,1825.0,12.2,76.0,2,29.5,class1
4,85.0,70.0,1990.0,17.0,76.0,3,32.0,class1
4,79.0,58.0,1825.0,18.6,77.0,2,36.0,class1
4,85.0,70.0,1945.0,16.8,77.0,3,33.5,class1
4,78.0,52.0,1985.0,19.4,78.0,3,32.8,class1
4,85.0,70.0,2070.0,18.6,78.0,3,39.4,class1
4,91.0,60.0,1800.0,16.4,78.0,3,36.1,class1
4,89.0,60.0,1968.0,18.8,80.0,3,38.1,class1
4,86.0,65.0,2110.0,17.9,80.0,3,46.6,class1
4,91.0,67.0,1850.0,13.8,80.0,3,44.6,class1
4,79.0,58.0,1755.0,16.9,81.0,3,39.1,class1
4,81.0,60.0,1760.0,16.1,81.0,3,35.1,class1
4,98.0,63.0,2051.0,17.0,77.0,1,30.5,class2
4,90.0,48.0,1985.0,21.5,78.0,2,43.1,class2
4,98.0,66.0,1800.0,14.4,78.0,1,36.1,class2
4,98.0,80.0,1915.0,14.4,79.0,1,35.7,class2
4,91.0,69.0,2130.0,14.7,79.0,2,37.3,class2
4,98.0,76.0,2144.0,14.7,80.0,2,41.5,class2
4,97.0,78.0,2188.0,15.8,80.0,2,34.3,class2
4,90.0,48.0,2085.0,21.7,80.0,2,44.3,class2
4,90.0,48.0,2335.0,23.7,80.0,2,43.4,class2
4,85.0,?,1835.0,17.3,80.0,2,40.9,class2
4,89.0,62.0,1845.0,15.3,80.0,2,29.8,class2
4,86.0,64.0,1875.0,16.4,81.0,1,39.0,class2
4,98.0,65.0,2045.0,16.2,81.0,1,34.4,class2
4,98.0,65.0,2380.0,20.7,81.0,1,29.9,class2
4,105.0,74.0,2190.0,14.2,81.0,2,33.0,class2
4,100.0,?,2320.0,15.8,81.0,2,34.5,class2
4,108.0,75.0,2350.0,16.8,81.0,3,32.4,class2
4,119.0,100.0,2615.0,14.8,81.0,3,32.9,class2
4,120.0,74.0,2635.0,18.3,81.0,3,31.6,class2
4,105.0,74.0,1980.0,15.3,82.0,2,36.0,class2
4,98.0,70.0,2125.0,17.3,82.0,1,36.0,class2
4,120.0,88.0,2160.0,14.5,82.0,3,36.0,class2
4,107.0,75.0,2205.0,14.5,82.0,3,36.0,class2
4,108.0,70.0,2245.0,16.9,82.0,3,34.0,class2
4,97.0,52.0,2130.0,24.6,82.0,2,44.0,class2
