cylinders,$displacement,$horsepower,<weight,>acceleration,$model,origin,>mpg,!class
4,140.0,89.0,2755.0,15.8,77.0,1,25.5,class1
4,140.0,88.0,2720.0,15.4,78.0,1,25.1,class1
4,156.0,105.0,2745.0,16.7,78.0,1,23.2,class1
4,151.0,85.0,2855.0,17.6,78.0,1,23.8,class1
4,140.0,88.0,2890.0,17.3,79.0,1,22.3,class1
4,151.0,90.0,2670.0,16.0,79.0,1,28.4,class1
4,151.0,90.0,2678.0,16.5,80.0,1,28.0,class1
4,140.0,88.0,2870.0,18.1,80.0,1,26.4,class1
4,151.0,90.0,3003.0,20.1,80.0,1,24.3,class1
4,156.0,105.0,2800.0,14.4,80.0,1,27.9,class1
4,140.0,?,2905.0,14.3,80.0,1,23.6,class1
4,151.0,84.0,2635.0,16.4,81.0,1,26.6,class1
4,156.0,92.0,2620.0,14.4,81.0,1,25.8,class1
6,168.0,116.0,2900.0,12.6,81.0,3,25.4,class1
6,146.0,120.0,2930.0,13.8,81.0,3,24.2,class1
4,112.0,88.0,2605.0,19.6,82.0,1,28.0,class1
4,112.0,88.0,2640.0,18.6,82.0,1,27.0,class1
4,151.0,90.0,2735.0,18.0,82.0,1,27.0,class1
4,140.0,92.0,2865.0,16.4,82.0,1,24.0,class1
4,151.0,?,3035.0,20.5,82.0,1,23.0,class1
4,156.0,92.0,2585.0,14.5,82.0,1,26.0,class1
4,151.0,90.0,2950.0,17.3,82.0,1,27.0,class1
4,140.0,86.0,2790.0,15.6,82.0,1,27.0,class1
4,120.0,79.0,2625.0,18.6,82.0,1,28.0,class1
4,119.0,82.0,2720.0,19.4,82.0,1,31.0,class1
4,115.0,95.0,2694.0,15.0,75.0,2,23.0,class2
4,120.0,88.0,2957.0,17.0,75.0,2,23.0,class2
4,121.0,98.0,2945.0,14.5,75.0,2,22.0,class2
4,121.0,115.0,2671.0,13.5,75.0,2,25.0,class2
4,107.0,86.0,2464.0,15.5,76.0,2,28.0,class2
4,116.0,81.0,2220.0,16.9,76.0,2,25.0,class2
4,101.0,83.0,2202.0,15.3,76.0,2,27.0,class2
4,85.0,52.0,2035.0,22.2,76.0,1,29.0,class2
4,98.0,60.0,2164.0,22.1,76.0,1,24.5,class2
4,130.0,102.0,3150.0,15.7,76.0,2,20.0,class2
4,120.0,88.0,3270.0,21.9,76.0,2,19.0,class2
4,97.0,78.0,1940.0,14.5,77.0,2,29.0,class2
4,97.0,78.0,2190.0,14.1,77.0,2,30.5,class2
4,121.0,110.0,2600.0,12.8,77.0,2,21.5,class2
4,121.0,115.0,2795.0,15.7,78.0,2,21.6,class2
4,89.0,71.0,1990.0,14.9,78.0,2,31.5,class2
4,89.0,71.0,1925.0,14.0,79.0,2,31.9,class2
5,183.0,77.0,3530.0,20.1,79.0,2,25.4,class2
4,141.0,71.0,3190.0,24.8,79.0,2,27.2,class2
5,121.0,67.0,2950.0,19.9,80.0,2,36.4,class2
4,146.0,67.0,3250.0,21.8,80.0,2,30.0,class2
4,122.0,88.0,2500.0,15.1,80.0,2,35.0,class2
4,141.0,80.0,3230.0,20.4,81.0,2,28.1,class2
6,145.0,76.0,3160.0,19.6,81.0,2,30.7,class2
